"id","Tipo"," Asignatura","GRUPO","PE","SEMESTRE","Horas a la semana","Modalidad","Créditos","MODELO","NOMBRE(S)","APELLIDOS","Grupo Responsable","LIC MEFI","LCC MEFI","LIS MEFI","LA MEFI","LEM MEFI","LM cupo","CUPO MAX","Lunes","Aula1","Martes","Aula2","Miércoles","Aula3","Jueves","Aula4","Viernes","Aula5","","","","",""
"65-LIC2-G2","Obligatoria","Cálculo Diferencial","2","IC(2013)","2","4.5","Regular","8","MEFI","María del Pilar","Rosado Ocaña","Coord. LM","40","","","","","","40","","","10:00 - 11:30","C8","09:00 - 10:30","C9","","","07:30 - 09:00","C6","","","","",""
"65-LIC2-G1","Obligatoria","Cálculo Diferencial","1","IC(2013)","2","4.5","Regular","8","MEFI","Genny Rocío","Uicab Ballote","Coord. LM","30","","","","","","30","","","10:00 - 11:30","H3","09:00 - 10:30","C6","","","07:30 - 09:00","C2","","","","",""
"66-LCC2","Obligatoria","Cálculo Diferencial","1","CC(2016)","2","4.5","Regular","8","MEFI","Genny Rocío","Uicab Ballote","Coord. LM","","30","","","","","30","","","07:30 - 09:00","H1","","","07:30 - 09:00","D2","09:30 - 11:00","H7","","","","",""
"67-LIS2-G1","Obligatoria","Cálculo Diferencial","3","IS(2016)","2","4.5","Regular","8","MEFI","Heidy Cecilia","Escamilla Puc","Coord. LM","","","45","","","","45","","","07:30 - 09:00","H2","","","07:30 - 09:00","H6","07:30 - 09:00","H2","","","","",""
"67-LIS2-G2","Obligatoria","Cálculo Diferencial","4","IS(2016)","2","4.5","Regular","8","MEFI","Lucía Belén","Gamboa Salazar","Coord. LM","","","45","","","","45","","","07:30 - 09:00","D3","","","07:30 - 09:00","D4","07:30 - 09:00","H3","","","","",""
"67-LIS2-G3","Obligatoria","Cálculo Diferencial","5","IS(2016)","2","4.5","Regular","8","MEFI","Jorge Carlos","Lugo Jiménez","Coord. LM","","","45","","","","45","","","07:30 - 09:00","H4","","","07:30 - 09:00","D3","07:30 - 09:00","H4","","","","",""
"71-LEM3-Acompañamiento","Obligatoria","Cálculo Diferencial","","E(2013)","3","2.5","Acompañamiento","10","MEFI","Genny Rocío","Uicab Ballote","Coord. LM","","","","","15","","15","","","","","","","12:00 - 14:30","C6","","","","","","",""
"72-LM2","Obligatoria","Cálculo Diferencial","","M(2024)","2","4.5","Regular/Recursamiento","8","MEFI","Óscar Iván","Muñoz Carballo","Coord. LM","","","","","","40","40","10:30 - 12:00","C10","","","","","07:30 - 09:00","H8","11:00 - 12:30","C10","","","","",""
"73-LM4","Obligatoria","Cálculo III/Cálculo Multivariado","","M(2011)-M(2024)","4","7.5","Ordinario/Regular","15","MEYA-MEFI","Lucía Belén","Gamboa Salazar","Coord. LM","","","","","","31","31","09:00 - 10:30","C6","09:00 - 10:30","H2","09:00 - 10:30","C2","09:00 - 10:30","D4","09:00 - 10:30","C9","","","","",""
"74-LEM4","Obligatoria","Cálculo Integral","","E(2013)","4","5","Regular","10","MEFI","Abraham Moisés","Canul Pech","Coord. LM","","","","","35","","35","","","10:00 - 12:00","C4","","","10:00 - 11:30","H6","10:00 - 11:30","H1","","","","",""
